2016-01-10 18:07:16 INFO  Steps:34 - Browser closed
====================================
2016-01-10 18:16:11 INFO  Steps:28 - Browser started
2016-01-10 18:16:18 INFO  LoginPage:38 - Login page opened
2016-01-10 18:21:43 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 18:25:33 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 18:25:38 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 18:28:31 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 18:28:39 INFO  Steps:34 - Browser closed
====================================
2016-01-10 18:28:45 INFO  Steps:28 - Browser started
2016-01-10 18:28:52 INFO  LoginPage:38 - Login page opened
2016-01-10 18:32:54 INFO  LastFmTest:40 - User SerP_94 is logged in successfully
2016-01-10 18:32:55 INFO  Steps:34 - Browser closed
====================================
2016-01-10 18:33:03 INFO  Steps:28 - Browser started
2016-01-10 18:33:11 INFO  LoginPage:38 - Login page opened
2016-01-10 18:37:20 INFO  UserPage:57 - User page opened
2016-01-10 19:11:22 INFO  Steps:28 - Browser started
2016-01-10 19:11:30 INFO  LoginPage:38 - Login page opened
2016-01-10 19:12:17 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:12:32 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:12:38 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 19:12:39 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:12:45 INFO  LoginPage:38 - Login page opened
2016-01-10 19:13:57 INFO  LoginPage:38 - Login page opened
2016-01-10 19:15:06 INFO  LoginPage:38 - Login page opened
2016-01-10 19:16:43 INFO  LastFmTest:53 - Search is completed successfully
2016-01-10 19:16:56 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:31:15 INFO  Steps:28 - Browser started
2016-01-10 19:31:25 INFO  LoginPage:38 - Login page opened
2016-01-10 19:31:56 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:32:11 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:32:21 INFO  LastFmTest:97 - Song is deleted successfully
2016-01-10 19:32:23 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:32:39 INFO  LoginPage:38 - Login page opened
2016-01-10 19:36:50 INFO  Steps:28 - Browser started
2016-01-10 19:36:58 INFO  LoginPage:38 - Login page opened
2016-01-10 19:37:31 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:37:39 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:37:46 INFO  LastFmTest:97 - Song is deleted successfully
2016-01-10 19:37:48 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:37:58 INFO  LoginPage:38 - Login page opened
2016-01-10 19:42:06 INFO  Steps:28 - Browser started
2016-01-10 19:42:16 INFO  LoginPage:38 - Login page opened
2016-01-10 19:42:41 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:42:55 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:43:02 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 19:43:03 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:43:12 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:43:12 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:43:12 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:43:12 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:43:12 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:44:26 INFO  Steps:28 - Browser started
2016-01-10 19:44:32 INFO  LoginPage:38 - Login page opened
2016-01-10 19:44:54 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:45:07 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:45:16 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 19:45:18 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 19:45:26 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:45:34 INFO  Steps:28 - Browser started
2016-01-10 19:45:40 INFO  LoginPage:38 - Login page opened
2016-01-10 19:46:03 INFO  LastFmTest:40 - User SerP_94 is logged in successfully
2016-01-10 19:46:03 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:46:10 INFO  Steps:28 - Browser started
2016-01-10 19:46:17 INFO  LoginPage:38 - Login page opened
2016-01-10 19:46:43 INFO  UserPage:57 - User page opened
2016-01-10 19:46:59 INFO  LastFmTest:113 - User is logged out successfully
2016-01-10 19:47:02 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:47:13 INFO  Steps:28 - Browser started
2016-01-10 19:47:20 INFO  LoginPage:38 - Login page opened
2016-01-10 19:48:46 INFO  Steps:34 - Browser closed
====================================
2016-01-10 19:48:53 INFO  Steps:28 - Browser started
2016-01-10 19:49:12 INFO  LastFmTest:53 - Search is completed successfully
2016-01-10 19:49:18 INFO  Steps:34 - Browser closed
====================================
2016-01-10 20:07:10 INFO  Steps:28 - Browser started
2016-01-10 20:07:17 INFO  LoginPage:38 - Login page opened
2016-01-10 20:11:30 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 20:17:11 INFO  RetryExec:96 - I/O exception (java.net.SocketException) caught when processing request to {}->http://127.0.0.1:7055: Connection reset
2016-01-10 20:17:11 INFO  RetryExec:112 - Retrying request to {}->http://127.0.0.1:7055
2016-01-10 20:22:12 INFO  Steps:28 - Browser started
2016-01-10 20:22:20 INFO  LoginPage:38 - Login page opened
2016-01-10 20:27:02 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 20:31:02 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 20:31:08 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 20:34:59 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 20:35:07 INFO  Steps:34 - Browser closed
====================================
2016-01-10 20:35:15 INFO  Steps:28 - Browser started
2016-01-10 20:35:22 INFO  LoginPage:38 - Login page opened
2016-01-10 20:39:41 INFO  LastFmTest:40 - User SerP_94 is logged in successfully
2016-01-10 20:39:42 INFO  Steps:34 - Browser closed
====================================
2016-01-10 20:39:55 INFO  Steps:28 - Browser started
2016-01-10 20:40:02 INFO  LoginPage:38 - Login page opened
2016-01-10 20:44:22 INFO  UserPage:57 - User page opened
2016-01-11 01:01:00 INFO  Steps:28 - Browser started
2016-01-11 01:01:08 INFO  LoginPage:38 - Login page opened
2016-01-11 01:05:35 INFO  UserLibraryPage:50 - User library page opened
2016-01-12 01:01:06 INFO  Steps:28 - Browser started
2016-01-12 01:01:16 INFO  LoginPage:38 - Login page opened
2016-01-12 01:07:09 INFO  UserLibraryPage:50 - User library page opened
2016-01-12 01:11:05 INFO  UserLibraryPage:50 - User library page opened
2016-01-12 01:11:11 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-12 01:15:00 INFO  UserLibraryPage:50 - User library page opened
2016-01-12 01:15:08 INFO  Steps:34 - Browser closed
====================================
2016-01-12 01:15:19 INFO  Steps:28 - Browser started
2016-01-12 01:15:27 INFO  LoginPage:38 - Login page opened
2016-01-13 01:01:28 INFO  Steps:28 - Browser started
2016-01-13 01:01:38 INFO  LoginPage:38 - Login page opened
2016-01-13 01:06:24 INFO  UserLibraryPage:50 - User library page opened
2016-01-13 01:10:16 INFO  UserLibraryPage:50 - User library page opened
2016-01-13 01:14:15 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-13 01:14:15 INFO  UserLibraryPage:50 - User library page opened
2016-01-15 22:03:34 INFO  Steps:28 - Browser started
2016-01-15 22:04:30 INFO  LoginPage:38 - Login page opened
2016-01-15 22:05:16 INFO  UserLibraryPage:50 - User library page opened
2016-01-15 22:06:40 INFO  UserLibraryPage:50 - User library page opened
2016-01-15 22:10:46 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-15 22:10:46 INFO  UserLibraryPage:50 - User library page opened
2016-01-16 21:10:01 INFO  Steps:28 - Browser started
2016-01-16 21:10:29 INFO  LoginPage:38 - Login page opened
2016-01-16 21:11:31 INFO  UserLibraryPage:50 - User library page opened
2016-01-16 21:11:46 INFO  UserLibraryPage:50 - User library page opened
2016-01-16 21:11:54 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-16 21:11:55 INFO  UserLibraryPage:50 - User library page opened
2016-01-16 21:12:01 INFO  UserPage:57 - User page opened
2016-01-16 21:12:18 INFO  LastFmTest:104 - user is logged out
2016-01-16 21:12:19 INFO  LoginPage:38 - Login page opened
2016-01-16 21:12:42 INFO  LastFmTest:40 - User SerP_94 is logged in successfully
2016-01-16 21:12:43 INFO  UserPage:57 - User page opened
2016-01-16 21:13:09 INFO  LastFmTest:117 - User is logged out successfully
2016-01-16 21:13:12 INFO  LoginPage:38 - Login page opened
2016-01-16 21:13:33 INFO  UserPage:57 - User page opened
2016-01-16 21:13:43 INFO  UserPage:57 - User page opened
2016-01-16 21:13:59 INFO  LastFmTest:70 - Comment is posted successfully
2016-01-16 21:13:59 INFO  UserPage:57 - User page opened
2016-01-16 21:14:25 INFO  LastFmTest:53 - Search is completed successfully
2016-01-16 21:14:29 INFO  Steps:34 - Browser closed
====================================
2016-01-16 21:21:46 INFO  Steps:28 - Browser started
